date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
9/18/2018,11324,1828,2580,1224,1250,486,132,104,16,6,186,55,73,7,0.007644091,1.1707,5021,4289,197.100000,213.360000,195.930000,209.980000,1800640000,20108282257
9/19/2018,12609,1575,2785,1226,1430,509,99,76,24,16,208,49,93,16,0.008998954,1.1376,5158,4534,209.470000,213.870000,201.660000,209.970000,1733330000,21375333033
9/20/2018,11386,1569,2507,1185,1396,542,94,71,18,9,211,38,77,12,0.011672875,1.1690,5140,4397,210.290000,224.820000,207.790000,224.590000,1782070000,21462913951
9/21/2018,14993,1778,3011,1287,1566,546,79,59,10,7,243,55,72,13,0.013459252,1.1826,5920,5006,225.250000,248.390000,221.570000,246.580000,2836200000,22994636921
9/22/2018,10667,1147,2345,1088,1384,579,84,69,16,12,179,41,51,11,0.014495429,1.2278,4786,3898,247.340000,251.200000,233.810000,240.480000,1921820000,25254412109
9/23/2018,9617,997,2039,958,1191,482,66,49,24,12,139,23,59,7,0.009352818,1.2251,4550,3714,240.990000,247.460000,237.860000,244.330000,1693470000,24611501926
9/24/2018,9824,1473,2189,1032,1134,406,97,78,16,7,199,63,52,9,0.011659284,1.1807,4750,4023,244.840000,245.110000,227.490000,228.730000,1748740000,25009868628
9/25/2018,11450,1791,2492,1114,1235,444,94,71,19,10,238,56,89,7,0.008648121,1.1756,5188,4413,228.330000,228.330000,206.490000,218.510000,2120360000,23327387770
9/26/2018,10558,1907,2505,1167,970,332,77,60,11,8,218,55,81,5,0.008328886,1.1961,4966,4152,218.650000,221.440000,209.110000,215.850000,1756100000,22342857545
9/27/2018,10068,1664,2221,1050,952,343,84,57,12,4,198,54,67,14,0.009764745,1.1432,4527,3960,215.440000,230.610000,212.650000,228.490000,2030320000,22019534943
